Section,LessonDir,FileName,DriveUrl
03 - Navidad,,Christmas coloring pages.pdf,https://drive.google.com/file/d/17O2uT47k3fqQuT-iMLs6KgCpCQJ5mG4p/view?usp=drivesdk
03 - Navidad,,52 - Los Reyes Magos.pdf,https://drive.google.com/file/d/1RRqtL6m3MMglel5UqpT4O3fZULvPlarR/view?usp=drivesdk
03 - Navidad,,51 - Los pastores.pdf,https://drive.google.com/file/d/1AEUCsKxgLIxI7NKUCZb072IZ2yq-mh-i/view?usp=drivesdk
03 - Navidad,,50 - Jesús nació.pdf,https://drive.google.com/file/d/1x7buOyvA_j0kiiJ63yjV4VzE56PDZU1q/view?usp=drivesdk
03 - Navidad,,49 - El ángel se le aparece a María.pdf,https://drive.google.com/file/d/1C7lfo5xtGVIaT1QAm8KAR02AQz9zHO_r/view?usp=drivesdk
03 - Navidad,,48 - Esperando la Navidad.pdf,https://drive.google.com/file/d/1QnJUCKd4_5ZVliKDnMk8mDh0rHl8QELP/view?usp=drivesdk
07 - Reflexiones Lunares,,Reflexiones lunares - es.pdf,https://drive.google.com/file/d/1rhirmKPSIBbmjeDgn3Q2EHrYKjZvMMzx/view?usp=drivesdk
06 - Serie El Espíritu Santo,,"Sesión 5 - Consolador, Ayudador, Intercesor y Sello_.pdf",https://drive.google.com/file/d/13u0ebroz8H_MioNOWaiemQ94EcreI_Az/view?usp=drivesdk
06 - Serie El Espíritu Santo,,Sesión 4 - El Fruto del Espíritu_.pdf,https://drive.google.com/file/d/1S3a49_WOJEn6YKyh5cRaJ4vIgNv3xkbI/view?usp=drivesdk
06 - Serie El Espíritu Santo,,Sesión 3 - Viviendo en el Espíritu_es.pdf,https://drive.google.com/file/d/1CEWIBxWdNHYaVIlZnK3H0jna40p9stam/view?usp=drivesdk
06 - Serie El Espíritu Santo,,Sesión 2 - Roles del Espíritu Santo.pdf,https://drive.google.com/file/d/1XxBjK9PabkzvHZIPr4rlF9-ggyjnfmX9/view?usp=drivesdk
